time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-15 00:00:00+00:00,114.0,23.0,5,1
2024-09-16 00:00:00+00:00,,,6,2
2024-09-17 00:00:00+00:00,38.0,5.0,21,1
2024-09-18 00:00:00+00:00,6.0,2.0,14,1
2024-09-19 00:00:00+00:00,58.0,11.0,81,1
2024-09-20 00:00:00+00:00,35.0,9.0,54,3
2024-09-21 00:00:00+00:00,12.0,4.0,24,1
2024-09-24 00:00:00+00:00,,,3,1
2024-09-27 00:00:00+00:00,21.0,4.0,18,1
